HEADER VAR,NAME,LEVEL,TYPE,WIDTH,LABELS,ANSWER,COLUMNS,ROWS,CHAPTER,SORT,TEXT_LABELS,TEXT_COLUMNS,TEXT_ROWS
VAR,RECORD,LEVEL_A,CONT,1,,,,,_FOLDERS,,,,
VAR,UUID,LEVEL_A,LITERAL,1,,,,,_FOLDERS,,,,
VAR,CIBLE,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,SOURCE_BASE_R1,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,POIDS03,LEVEL_A,CONT,1,,,,,CHAP04,,,,
VAR,INTER,LEVEL_A,CONT,1,,,,,_FOLDERS,,,,
VAR,CONTACT,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,RS1_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,RS2C_RECODE_AG_R,LEVEL_A,DISC,1,7.0,,,,,,,,
VAR,RS3_R,LEVEL_A,DISC,1,8.0,,,,,,,,
VAR,RS4_R,LEVEL_A,DISC,1,7.0,,,,,,,,
VAR,CSPIND_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,RS5_R,LEVEL_A,DISC,1,9.0,,,,,,,,
VAR,UDA9_R,LEVEL_A,DISC,1,10.0,,,,,,,,
VAR,UDA5_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,DPT_DOM_R,LEVEL_A,DISC,1,12.0,,,,,,,,
VAR,CC_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,RS7_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,RS14_R,LEVEL_A,DISC,1,6.0,,,,,,,,
VAR,ILLECTRO_R,LEVEL_A,DISC,1,4.0,,,,,,,,
VAR,RS15_R,LEVEL_A,DISC,1,7.0,,,,,,,,
VAR,FREQ_INTERNET_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,RS16_R,LEVEL_A,DISC,1,3.0,,12.0,,,,,,
VAR,RS16_R1,LEVEL_A,MULT,1,13.0,13.0,,,,DESCENDANT,L_RS16_R1,,
VAR,RS16_R2,LEVEL_A,MULT,1,13.0,13.0,,,,DESCENDANT,L_RS16_R1,,
VAR,RS16_R3,LEVEL_A,MULT,1,13.0,13.0,,,,DESCENDANT,L_RS16_R1,,
VAR,INT1_R,LEVEL_A,DISC,1,4.0,,,,,,L_INT1_R,,
VAR,INT2_R,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT1_R,C_INT2_R,
VAR,INT2_R1,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R2,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R3,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R4,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R5,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,INT2_R6,LEVEL_A,MULT,1,13.0,13.0,,,,,L_INT2_R1,,
VAR,VERSION_QUESTIO_R,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,INT3_R,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R1,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R2,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R3,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R4,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R5,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,INT3_R7,LEVEL_A,CONT,1,,,,,CHAP01,,,,
VAR,INT3_R6,LEVEL_A,DISC,1,4.0,,12.0,,,,L_INT3_R,C_INT2_R,
VAR,MOTIV_R,LEVEL_A,DISC,1,4.0,,14.0,,,,,,
VAR,MOTIV_R1,LEVEL_A,DISC,1,15.0,,,,,DESCENDANT,L_MOTIV_R1,,
VAR,MOTIV_R2,LEVEL_A,MULT,1,15.0,15.0,,,,DESCENDANT,L_MOTIV_R1,,
VAR,NEWS1_R,LEVEL_A,DISC,1,6.0,,8.0,,,,,,
VAR,NEWS1_R1,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,,,
VAR,NEWS1_R2,LEVEL_A,MULT,1,9.0,9.0,,,,DESCENDANT,,,
VAR,NEWS1_1B_R,LEVEL_A,DISC,1,3.0,,,,,,,,
VAR,NEWS1_2B_R,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,NEWS1_3B_R,LEVEL_A,DISC,1,2.0,,,,,,,,
VAR,NEWS1SOURCES_LR6_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_LR7_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_LR8_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
VAR,NEWS1SOURCES_LR9_R,LEVEL_A,DISC,1,4.0,,,,,,L_NEWS1SOURCES_LR6_R,,
